timestamp,open,high,low,close
0,20989.58,21073.8,20979.25,21038.55
1,21038.65,21053.52,20920.61,20935.9
2,20933.73,20948.67,20898.35,20927.2
3,20923.47,20961.64,20890.62,20899.97
4,20899.91,20909.5,20863.25,20865.48
5,20866.99,20869.89,20783.84,20786.54
6,20783.18,20819.51,20721.37,20815.21
7,20819.26,20844.73,20766.88,20777.22
8,20776.11,20832.26,20762.77,20786.31
9,20786.3,20790.89,20767,20780.36
10,20779.72,20882.51,20778.71,20852.04
11,20851.78,20910.76,20842.53,20910.44
12,20911.98,20941.26,20879.95,20902.96
13,20902.91,20905.55,20839.05,20882.66
14,20884.51,20932.56,20867.32,20932.28
15,20931.9,20931.9,20853.44,20863.67
16,20865.31,20894.55,20856.82,20885.44
17,20885.76,20888.54,20810.18,20814.17
18,20824.95,20858.96,20823.9,20848.4
19,20848.58,20873.83,20843.58,20849.88
20,20852.02,20875.41,20831.34,20869.76
21,20871,20888.85,20852.93,20888.85
22,20888.25,20936.72,20886.1,20933.28
23,20933.24,20933.24,20848.5,20848.6
24,20848.95,20859.09,20831.46,20832.7
25,20832.89,20850.61,20801.91,20808.6
26,20809.57,20818.76,20791.42,20799.13
27,20798.79,20853.71,20797.03,20852.95
28,20852.9,20888.3,20849.55,20877.11
29,20877.01,20891.54,20875.08,20877.75
30,20874.89,20877.01,20859.22,20869.72
31,20869.58,20889.22,20864.36,20869.19
32,20868.78,20889.8,20867.58,20884.4
33,20884.79,20905.39,20870.57,20898.99
34,20899.61,20904.49,20892.74,20899.43
35,20899.35,20906.81,20879.02,20894.24
36,20894.3,20899.4,20877.46,20879.12
37,20879.92,20890.81,20865.68,20888.9
38,20889.17,20913.59,20884.19,20891.84
39,20892.14,20892.48,20842.57,20861.66
40,20860.39,20865.65,20826.41,20826.41
41,20826.34,20828.57,20784.07,20805.88
42,20805.41,20810.47,20777.11,20779
43,20779.09,20779.09,20699.8,20703.8
44,20701.7,20701.7,20665.75,20677.73
45,20678.15,20710.78,20674.71,20698.45
46,20698.86,20722.47,20684.04,20717.12
47,20713.58,20713.58,20636.04,20642.39
48,20642.93,20664.51,20617.21,20631.63
49,20632.78,20646.19,20614.91,20622.94
50,20623.33,20666.35,20620.74,20648.29
51,20648.75,20718.62,20633.43,20670.23
52,20669.98,20696.96,20663.4,20680.02
53,20680.64,20709.63,20663.05,20704.67
54,20701.82,20747.02,20698.35,20727.31
55,20727.33,20740.21,20715.13,20731.59
56,20731.09,20734.05,20702.83,20706.58
57,20707.02,20711.23,20661.24,20671.03
58,20670.14,20705.08,20670.14,20694.14
59,20692.84,20693.21,20663.33,20670.03
60,20669.26,20728.73,20667.36,20720
61,20718.78,20725.57,20692.18,20724.32
62,20726.23,20769.5,20726.23,20752.85
63,20748.01,20749.5,20677.23,20678.85
64,20679.53,20693.08,20569.56,20594.04
65,20595.39,20625.37,20562.59,20563.34
66,20563.16,20563.16,20467.69,20493.71
67,20492.22,20507.49,20448.98,20454.73
68,20455.45,20463.06,20389.73,20419.91
69,20418.15,20456.82,20401.51,20402.94
70,20403.16,20417.51,20349.66,20351.45
71,20352.92,20371.04,20323.95,20338.5
72,20336.89,20388.9,20332.87,20337.63
73,20339.02,20358.2,20310.62,20312.77
74,20312.8,20323.2,20279.5,20306.7
75,20301.24,20366.96,20299.34,20353.87
76,20342.58,20382.54,20330.79,20381.52
77,20377.95,20431.14,20366.79,20430.68
78,20430.25,20430.25,20425.58,20425.58
79,20281.89,20306,20210.43,20262.62
80,20261.22,20376.45,20255.48,20311.98
81,20312.55,20347.59,20218.81,20284.87
82,20283.94,20364.39,20266.45,20287.32
83,20289.36,20295.08,20230.86,20254.83
84,20255.68,20297.82,20190.12,20192.86
85,20193.39,20201.21,20137.57,20182.66
86,20180.89,20199.36,20126.52,20144.47
87,20143.88,20196.02,20120.22,20162.43
88,20160.41,20160.41,20049.55,20058.9
89,20071.86,20088.68,20034.68,20074.18
90,20072.79,20135.51,20057.28,20118.11
91,20116.04,20196.38,20095.11,20169.78
92,20167.22,20190.03,20137.31,20149.22
93,20148.67,20186.37,20135.04,20184.3
94,20186.05,20211.58,20142.79,20189.55
95,20190.23,20194.89,20127.4,20130.64
96,20134.25,20164.68,20117.6,20154.22
97,20151.71,20175.41,20113.29,20140.77
98,20140.32,20145.54,20072.74,20079.15
99,20087.55,20162.84,20072.81,20161.16
100,20159.52,20182.86,20117.77,20118.53
101,20118.22,20148.19,20107.65,20117.65
102,20117.16,20117.75,20066.17,20096.97
103,20096.8,20157.48,20096.8,20138.55
104,20138.4,20170.22,20130.91,20146.13
105,20145.87,20214.13,20140.45,20203.68
106,20204.57,20246.54,20194.38,20242.55
107,20241.58,20268.22,20210.57,20256.4
108,20256.01,20291.99,20251.9,20255.53
109,20256.8,20273.27,20236.74,20266.06
110,20265.19,20266.01,20225.57,20236.21
111,20236.28,20278.8,20235.84,20258.09
112,20257.98,20285.45,20248,20283.43
113,20282.86,20334.74,20278.58,20310.99
114,20311.07,20384.84,20310.92,20355.25
115,20352.22,20352.22,20292.22,20322.99
116,20322.53,20358.06,20317.24,20343.93
117,20342.8,20356.44,20300.45,20327.43
118,20326.98,20365.58,20324.01,20334.81
119,20335.16,20335.26,20281.21,20310.96
120,20311.2,20312.52,20282.22,20294.28
121,20293.81,20319.3,20276.23,20308.86
122,20308.7,20376.75,20302.78,20375.47
123,20375.16,20447.48,20370.63,20437.09
124,20436.79,20436.79,20365.47,20381.75
125,20387.72,20391.09,20343.77,20354.99
126,20354.61,20359.89,20330.14,20336.91
127,20335.71,20368.38,20311.53,20368.04
128,20365.3,20387.31,20352.17,20387.2
129,20388.19,20424.93,20385.46,20408.43
130,20408.91,20430.92,20397.28,20406.25
131,20407.8,20439.03,20395.45,20436.95
132,20435.16,20478.85,20434.15,20459.32
133,20459.14,20516.22,20458.21,20505.84
134,20504.77,20543.16,20498.9,20525.5
135,20525.54,20529.07,20495.17,20507.43
136,20508.49,20524.96,20497.95,20518.31
137,20517.73,20571.37,20514.17,20561.76
138,20562.49,20577.4,20523.81,20524.26
139,20528.05,20533.57,20501.33,20512.42
140,20509.6,20548.11,20506.87,20547.3
141,20547.27,20570.75,20532.31,20562.04
142,20562.75,20585.65,20545.73,20548.01
143,20548.42,20571.97,20546.34,20555.33
144,20554.53,20585.49,20553.83,20580.61
145,20580.38,20610.29,20562.05,20574.05
146,20574.38,20615.33,20565.39,20604.82
147,20606.24,20636.75,20600.01,20625.48
148,20625.87,20644,20604.35,20643.18
149,20643.69,20688.46,20641.14,20687.05
150,20686.52,20686.52,20633.37,20637.15
151,20634.61,20639.08,20510.52,20525
152,20530.6,20545.47,20485.3,20485.3
153,20483.84,20497.55,20446.69,20482.12
154,20487.29,20505.57,20418.18,20421.96
155,20397.72,20397.72,20282.78,20339.16
156,20347.08,20373.73,20340.8,20350.58
157,20352.89,20352.89,20352.53,20352.53
158,20363.22,20405.04,20347.95,20370.93
159,20371.49,20388.58,20282.74,20335.66
160,20339.1,20418.31,20339.1,20391.33
161,20390.42,20393.72,20317.23,20317.23
162,20317.09,20366.87,20289.45,20300.05
163,20299.17,20321.88,20237.4,20277.44
164,20311.68,20423.48,20311.68,20402.67
165,20404.99,20452.12,20389.27,20418.57
166,20416.24,20432.66,20381.01,20395.6
167,20396.06,20400.67,20329.82,20338.93
168,20338.45,20353.63,20269.88,20312.92
169,20310.61,20321.49,20279.5,20297.39
170,20300.1,20345.04,20284.29,20329.84
