timestamp,open,high,low,close
0,1133.73,1133.93,1132.99,1133.67
1,1134.21,1137.27,1134.21,1136.81
2,1137.21,1139,1136.96,1138.59
3,1139.01,1139.53,1138.22,1138.22
4,1138.19,1139.1,1138.14,1138.64
5,1138.66,1139,1136.73,1136.73
6,1136.59,1136.59,1135.15,1136.22
7,1136.59,1136.59,1134.67,1134.8
8,1134.85,1134.85,1131.96,1132.26
9,1131.96,1132.45,1131.09,1132.33
10,1132.25,1132.88,1131.62,1131.62
11,1132.39,1133.05,1131.76,1133.05
12,1133.27,1133.27,1131.95,1131.95
13,1132.06,1132.29,1130.75,1131.15
14,1131.53,1131.93,1131.32,1131.91
15,1131.81,1132.23,1130.7,1132.23
16,1133.01,1134.98,1133.01,1134.38
17,1134.32,1135.03,1134.32,1134.59
18,1134.39,1134.65,1133.62,1133.62
19,1133.58,1134.14,1131.98,1132.31
20,1132.31,1132.7,1131.45,1131.83
21,1131.66,1132.21,1130.32,1132.12
22,1131.28,1131.46,1130.51,1130.83
23,1130.57,1130.83,1129.31,1129.68
24,1129.88,1129.88,1128.72,1128.72
25,1128.66,1128.66,1126.4,1126.85
26,1126.3,1126.77,1123.91,1123.91
27,1123.79,1124,1122.74,1122.74
28,1122.56,1124.52,1122.52,1124.52
29,1124.59,1125.33,1123.18,1123.18
30,1120.4,1122.13,1118.99,1122.13
31,1122.82,1124.21,1122.12,1122.48
32,1122.48,1122.71,1121.79,1122.71
33,1122.65,1124.34,1122.65,1124.34
34,1124.42,1126.28,1124.1,1126.28
35,1126.04,1126.34,1125.36,1126.15
36,1126.43,1126.77,1125.43,1125.81
37,1125.75,1128.2,1125.75,1127.23
38,1126.65,1126.78,1125.89,1125.93
39,1124.75,1125.32,1124.48,1125.26
40,1124.7,1127.49,1124.55,1127.49
41,1127.35,1129.64,1127.35,1129.26
42,1128.91,1129.72,1128.49,1128.65
43,1128.68,1128.83,1128.01,1128.4
44,1128.1,1128.36,1126.65,1126.65
45,1126.45,1127.2,1126.14,1126.31
46,1126.32,1126.38,1126.07,1126.38
47,1126.28,1127.26,1126.02,1126.14
48,1126.25,1126.72,1125.3,1125.4
49,1125.91,1125.92,1125.35,1125.92
50,1125.98,1127.78,1125.98,1127.59
51,1127.69,1129.23,1127.22,1129.23
52,1129.36,1130.46,1129.02,1130.46
53,1130.34,1131.56,1129.91,1130.59
54,1130.77,1131.15,1129.6,1129.6
55,1129.85,1129.85,1128.84,1129.17
56,1129.27,1129.32,1128.85,1129.32
57,1129.81,1131.03,1129.81,1131.03
58,1130.78,1131.07,1130.47,1131.07
59,1131.39,1132.22,1131.04,1132.22
60,1132.35,1133.57,1132.19,1132.19
61,1132.33,1132.33,1130.94,1131.11
62,1131.64,1131.75,1130.89,1131
63,1131.03,1131.33,1130.01,1130.01
64,1129.84,1130.23,1129.42,1130.23
65,1130.46,1130.46,1129.12,1129.54
66,1129.8,1130.43,1129.04,1130.31
67,1129.92,1129.92,1127.1,1127.33
68,1127.52,1128.18,1127.52,1128.18
69,1128.81,1129.74,1128.81,1128.85
70,1128.83,1128.95,1127.98,1128.92
71,1129.07,1129.85,1129.06,1129.56
72,1129.54,1130.13,1129.54,1129.88
73,1129.83,1130.98,1129.83,1130.98
74,1131.28,1131.62,1130.99,1131.61
