timestamp,open,high,low,close
0,20989.58,21073.8,20783.84,20786.54
1,20783.18,20910.76,20721.37,20910.44
2,20911.98,20941.26,20810.18,20814.17
3,20824.95,20936.72,20823.9,20848.6
4,20848.95,20891.54,20791.42,20877.75
5,20874.89,20906.81,20859.22,20894.24
6,20894.3,20913.59,20784.07,20805.88
7,20805.41,20810.47,20636.04,20642.39
8,20642.93,20718.62,20614.91,20704.67
9,20701.82,20747.02,20661.24,20670.03
10,20669.26,20769.5,20562.59,20563.34
11,20563.16,20563.16,20323.95,20338.5
12,20336.89,20431.14,20279.5,20430.68
13,20430.25,20430.25,20425.58,20425.58
14,20281.89,20376.45,20190.12,20192.86
15,20193.39,20201.21,20034.68,20118.11
16,20116.04,20211.58,20095.11,20154.22
17,20151.71,20182.86,20066.17,20096.97
18,20096.8,20291.99,20096.8,20255.53
19,20256.8,20384.84,20225.57,20355.25
20,20352.22,20365.58,20281.21,20294.28
21,20293.81,20447.48,20276.23,20336.91
22,20335.71,20478.85,20311.53,20459.32
23,20459.14,20577.4,20458.21,20524.26
24,20528.05,20585.65,20501.33,20580.61
25,20580.38,20688.46,20562.05,20637.15
26,20634.61,20639.08,20282.78,20350.58
27,20352.89,20352.89,20352.53,20352.53
28,20363.22,20418.31,20237.4,20277.44
29,20311.68,20452.12,20269.88,20297.39
30,20300.1,20398.99,20284.29,20355.43
31,20354.38,20354.38,20221.89,20265.77
32,20262.94,20330.12,20182.57,20305.13
33,20301.58,20435.27,20297.2,20435.12
34,20435.43,20535.3,20407.32,20532.7
35,20532.4,20543.53,20416.36,20464.86
36,20466.19,20554.71,20418.53,20552.75
37,20550.41,20671.51,20525.3,20603.09
38,20603.79,20652.91,20570.42,20614.84
39,20615.01,20688.72,20575.54,20655.99
40,20650.86,20666.55,20570.69,20623
41,20628.57,20628.57,20628.46,20628.46
42,20231.74,20303.72,20197.62,20252.07
43,20247.18,20445.56,20225.37,20425.98
44,20425.32,20473.4,20358.82,20396.59
45,20400.12,20456.19,20323.42,20379.76
46,20377.98,20430.89,20217.79,20219.57
47,20219.26,20237.89,20098.08,20122.62
48,20123.45,20165.32,20061.29,20139.44
49,20138.54,20170.93,20092.52,20101.88
50,20101.95,20125.07,20012.69,20086.35
51,20085.69,20090.09,19974.55,19993.06
52,19992.23,20166.57,19968.56,20018.79
53,20014.97,20109.69,19998.73,20070.6
54,20070.07,20114.01,20005.74,20051.74
55,20052.61,20052.63,20052.61,20052.63
56,20015.62,20207.85,20002.76,20108.43
57,20109.83,20156.14,20014.03,20024.16
58,20023.75,20042.69,19858.7,19987.22
59,19985.5,19995.95,19827.56,19838.24
60,19846.7,19849.24,19736.81,19798.81
61,19801.73,19860.31,19747.4,19841.28
62,19840.66,20046.67,19818.06,19917.75
63,19918.53,20088.97,19918.38,20021.76
64,20022.32,20144.04,20014.3,20137.34
65,20138.85,20238.21,20096.16,20220.24
66,20221.81,20241.63,20138.94,20164.15
67,20162.43,20220.83,20146.56,20196.79
68,20194.05,20253.22,20073.66,20197.46
69,20198.63,20201.37,20198.63,20201.37
70,19826.96,19867.08,19720.6,19758.79
71,19755.22,19755.22,19626.73,19636.54
72,19640.5,19660.44,19491.91,19521.36
73,19521.79,19604.44,19521.08,19604.06
74,19603.79,19672.15,19547.57,19557.23
75,19555.5,19586.59,19494.18,19544.3
76,19551.88,19604.65,19502.41,19513.05
77,19513.49,19520.51,19428.07,19475.86
78,19477.77,19480.21,19393.5,19413.22
79,19412.07,19460.61,19368.91,19400.25
80,19402.17,19432.19,19304.05,19308.67
81,19306.62,19465.55,19243.31,19406.67
82,19405.56,19517.1,19368.41,19432.39
83,19433.01,19433.01,19430.95,19430.95
84,19405.52,19573.11,19362.61,19494.83
85,19479.22,19583.1,19287.96,19293.67
86,19292.45,19385.93,19239.41,19288.75
87,19282.51,19474.39,19262.55,19406.1
88,19405.64,19517.1,19393.75,19396.68
89,19396.81,19415.32,19313.43,19359.37
90,19363.84,19404.08,19273.11,19297.8
91,19297.76,19299.82,19184.91,19189.24
92,19185.87,19338.05,19180.56,19291.85
93,19293.16,19514.74,19291.61,19481.05
94,19481.01,19659.43,19442.49,19611.58
95,19613.13,19648.74,19484.37,19526.14
96,19526.74,19536.31,19369.72,19375.06
97,19369.94,19376.96,19369.94,19376.96
98,19663.39,19756.09,19574.05,19620.03
99,19620.43,19700.81,19569.73,19607.67
100,19608.46,19617.26,19451.11,19451.39
101,19454.12,19516.51,19375.25,19500.85
102,19501.93,19611.17,19492.17,19609.18
103,19609.27,19677,19570.41,19656.08
104,19659.96,19704.39,19593.11,19610.1
105,19612.38,19680.8,19588.23,19677.91
106,19676.78,19693.26,19516.56,19516.56
107,19518.09,19616.26,19513.6,19616.24
108,19618.01,19682.41,19602.66,19657.15
109,19655.6,19655.6,19573.97,19600.44
110,19600.67,19626.86,19539.47,19592.41
111,19594.22,19596.02,19594.22,19596.02
112,19534.37,19558.56,19324.29,19347.81
113,19345.13,19542.75,19306.33,19460.78
114,19461.51,19506.62,19388.53,19406.85
115,19411.85,19455.48,19329.87,19340.05
116,19337.8,19364.02,19264.04,19275.81
117,19276.65,19330.45,19269.68,19284.7
118,19285.06,19367.17,19226,19265.12
